timestamp,day,month,year,time,open,close,high,low,volume
1705017600,12,1,2024,05:30:00,459.0,458.25,461.1,455.1,5995406
1704931200,11,1,2024,05:30:00,453.9,458.7,461.2,453.2,7875626
1704844800,10,1,2024,05:30:00,455.2,451.25,456.15,445.1,7630996
1704758400,9,1,2024,05:30:00,460.0,459.95,463.75,455.65,6150645
1704672000,8,1,2024,05:30:00,456.95,455.0,464.3,451.45,9116305
1704412800,5,1,2024,05:30:00,455.9,453.1,459.65,451.25,4040234
1704326400,4,1,2024,05:30:00,456.8,452.65,457.5,451.0,8952458
1704240000,3,1,2024,05:30:00,459.95,461.05,465.3,455.05,7529442
1704153600,2,1,2024,05:30:00,452.05,456.25,459.4,448.1,4729409
1704067200,1,1,2024,05:30:00,459.4,452.05,459.4,450.7,3503144
1703808000,29,12,2023,05:30:00,454.5,450.65,458.0,448.65,8544220
1703721600,28,12,2023,05:30:00,456.0,465.8,470.85,454.75,22591668
1703635200,27,12,2023,05:30:00,453.95,454.7,456.4,448.3,6199044
1703548800,26,12,2023,05:30:00,448.0,451.6,456.5,444.5,11488225
1703203200,22,12,2023,05:30:00,449.7,446.65,453.35,445.05,5779632
1703116800,21,12,2023,05:30:00,434.9,449.55,450.45,432.45,9277207
1703030400,20,12,2023,05:30:00,453.4,439.45,455.35,438.35,8673989
1702944000,19,12,2023,05:30:00,447.25,449.75,451.5,445.05,6322336
1702857600,18,12,2023,05:30:00,449.0,447.25,450.25,444.1,8415532
1702598400,15,12,2023,05:30:00,445.0,449.0,453.45,442.2,11039574
1702512000,14,12,2023,05:30:00,449.95,445.7,449.95,442.05,6277784
1702425600,13,12,2023,05:30:00,449.5,447.5,454.35,445.95,13332009
1702339200,12,12,2023,05:30:00,445.5,447.55,451.45,445.5,9970160
1702252800,11,12,2023,05:30:00,474.85,465.5,474.85,456.55,13846554
1701993600,8,12,2023,05:30:00,476.9,470.45,477.45,465.8,9470239
1701907200,7,12,2023,05:30:00,477.0,474.7,479.0,471.5,11925282
1701820800,6,12,2023,05:30:00,481.0,472.85,482.5,468.3,13704413
1701734400,5,12,2023,05:30:00,470.05,472.2,476.45,465.0,19188032
1701648000,4,12,2023,05:30:00,445.0,461.5,464.8,444.0,20741397
1701388800,1,12,2023,05:30:00,440.0,438.0,442.4,433.4,9639421
1701302400,30,11,2023,05:30:00,434.5,435.7,438.75,429.05,16360654
1701216000,29,11,2023,05:30:00,426.0,428.65,434.45,418.7,12604406
1701129600,28,11,2023,05:30:00,414.05,424.5,425.9,413.1,11593428
1700784000,24,11,2023,05:30:00,413.0,410.6,413.0,407.0,5487773
1700697600,23,11,2023,05:30:00,403.55,411.3,413.5,400.65,8119546
1700611200,22,11,2023,05:30:00,392.0,402.1,402.8,391.1,12865332
1700524800,21,11,2023,05:30:00,392.0,388.0,393.2,386.6,2238607
1700438400,20,11,2023,05:30:00,390.65,392.0,393.4,387.45,2253441
1700179200,17,11,2023,05:30:00,400.0,390.25,407.1,389.25,8190348
1700092800,16,11,2023,05:30:00,394.0,398.65,401.3,393.0,7708086
1700006400,15,11,2023,05:30:00,388.0,392.55,393.4,387.15,5633125
1699833600,13,11,2023,05:30:00,383.5,387.1,388.7,383.5,2419453
1699747200,12,11,2023,05:30:00,385.0,384.1,388.0,383.15,388405
1699574400,10,11,2023,05:30:00,381.8,384.05,386.1,380.5,2466243
1699488000,9,11,2023,05:30:00,385.1,383.55,390.65,382.8,6421948
1699401600,8,11,2023,05:30:00,375.45,384.2,387.9,374.05,12010456
1699315200,7,11,2023,05:30:00,366.8,372.8,373.65,366.2,5351088
1699228800,6,11,2023,05:30:00,362.8,366.25,369.15,361.35,4536010
1698969600,3,11,2023,05:30:00,361.15,361.5,363.7,360.2,2813950
1698883200,2,11,2023,05:30:00,360.95,360.55,362.0,357.25,5065216
1698796800,1,11,2023,05:30:00,350.55,356.9,358.75,350.55,6964890
1698710400,31,10,2023,05:30:00,348.35,349.25,353.95,344.65,5336593
1698624000,30,10,2023,05:30:00,338.0,346.9,348.9,337.1,10936594
1698364800,27,10,2023,05:30:00,335.0,334.95,338.25,334.0,1498044
1698278400,26,10,2023,05:30:00,337.6,335.0,338.95,331.45,3871939
1698192000,25,10,2023,05:30:00,342.55,339.95,346.5,338.5,2714887
1698019200,23,10,2023,05:30:00,345.55,342.8,347.3,341.65,3906900
1697760000,20,10,2023,05:30:00,350.6,346.4,352.8,344.55,2200345
1697673600,19,10,2023,05:30:00,349.5,353.7,354.55,349.15,2871594
1697587200,18,10,2023,05:30:00,355.0,350.2,356.5,348.85,4581114
1697500800,17,10,2023,05:30:00,348.9,354.7,357.7,346.7,5221864
1697414400,16,10,2023,05:30:00,345.0,347.25,348.45,342.0,1631235
1697155200,13,10,2023,05:30:00,347.1,347.7,350.6,347.05,1990902
1697068800,12,10,2023,05:30:00,344.9,348.7,350.35,344.05,3851901
1696982400,11,10,2023,05:30:00,342.2,342.55,345.3,341.5,2399756
1696896000,10,10,2023,05:30:00,340.05,340.4,342.6,339.2,1786489
1696809600,9,10,2023,05:30:00,341.0,340.0,341.65,336.15,4370040
1696550400,6,10,2023,05:30:00,345.0,347.2,349.0,344.0,1858538
1696464000,5,10,2023,05:30:00,345.5,344.45,347.75,342.8,3557753
1696377600,4,10,2023,05:30:00,341.35,341.35,344.95,339.55,3024880
1696291200,3,10,2023,05:30:00,348.5,341.35,349.2,340.85,5257277
1695945600,29,9,2023,05:30:00,345.75,346.6,348.15,345.0,1334935
1695859200,28,9,2023,05:30:00,347.05,343.95,350.0,342.0,4850989
1695772800,27,9,2023,05:30:00,351.65,349.0,353.2,346.6,2984523
1695686400,26,9,2023,05:30:00,351.9,351.65,354.85,350.9,1894180
1695600000,25,9,2023,05:30:00,353.4,351.9,353.5,348.05,2479876
1695340800,22,9,2023,05:30:00,355.5,351.95,357.5,351.35,1991051
1695254400,21,9,2023,05:30:00,353.0,355.25,358.5,351.8,4939771
